"nidid","julian","date","percent_storage","min","flow10","flow25","flow50","flow75","flow90","max","Nobs","startYr","endYr","month","status"
"NC00173",8,2021-01-08,110.2,71.68,97.596,101.505,103.01,110.85,118.97,175.93,39,1983,2021,"Jan","Moderately Wet"
"NC00300",8,2021-01-08,101.23,79.25,96.416,100,100.29,101.53,107.252,132.15,58,1964,2021,"Jan","Moderately Wet"
"NC01713",8,2021-01-08,156.29,40.76,75.808,91.82,102.46,107.52,119.592,169.6,38,1984,2021,"Jan","Extremely Wet"
"VA08901",8,2021-01-08,101.42,43.6,83.517,96.5575,100.63,102.0075,102.947,108.5,63,1958,2021,"Jan","Moderately Wet"
"VA11701",8,2021-01-08,122.82,71.37,90.926,97.86,105.08,114.865,130.286,141.66,67,1954,2021,"Jan","Very Wet"
