"site","year","medianDepth","nobsv"
"344520079281001",2016,8.935,366
"344520079281001",2017,10.29,365
"344520079281001",2018,8.98,365
"344520079281001",2019,11.16,365
"344520079281001",2020,8.79,366
"344520079281001",2021,8.64,207
"344544079263701",2007,24.49,340
"344544079263701",2008,18.12,366
"344544079263701",2009,20.17,365
"344544079263701",2010,21.88,365
"344544079263701",2011,23.68,365
"344544079263701",2012,23.5,366
"344544079263701",2013,21.79,365
"344544079263701",2014,24.85,365
"344544079263701",2015,23.15,365
"344544079263701",2016,22.07,366
"344544079263701",2017,24.14,365
"344544079263701",2018,22.16,365
"344544079263701",2019,22.01,365
"344544079263701",2020,19.34,366
"344544079263701",2021,18.265,207
"345051078012109",2003,3.45,41
"345051078012109",2004,4.38,366
"345051078012109",2005,NA,365
"345051078012109",2006,3.205,365
"345051078012109",2007,7.12,365
"345051078012109",2008,6.535,366
"345051078012109",2009,6.92,365
"345051078012109",2010,6.89,365
"345051078012109",2011,6.48,365
"345051078012109",2012,7.82,366
"345051078012109",2013,7.94,365
"345051078012109",2014,7.41,365
"345051078012109",2015,5.56,365
"345051078012109",2016,5.385,366
"345051078012109",2017,7.03,365
"345051078012109",2018,7.18,365
"345051078012109",2019,6.01,365
"345051078012109",2020,4.99,366
"345051078012109",2021,4.37,206
"345809077301408",1990,6.09,365
"345809077301408",1991,4.83,365
"345809077301408",1992,5.52,366
"345809077301408",1993,5.35,365
"345809077301408",1994,6.65,365
"345809077301408",1995,3.925,365
"345809077301408",1996,3.925,366
"345809077301408",1997,5.405,365
"345809077301408",1998,5.84,365
"345809077301408",1999,4.385,365
"345809077301408",2000,4.82,366
"345809077301408",2001,7.23,365
"345809077301408",2002,8.97,365
"345809077301408",2003,3.48,365
"345809077301408",2004,4.17,366
"345809077301408",2005,4.28,365
"345809077301408",2006,4.32,365
"345809077301408",2007,9.08,365
"345809077301408",2008,9.24,366
"345809077301408",2009,6.52,365
"345809077301408",2010,5.775,365
"345809077301408",2011,7.62,365
"345809077301408",2012,5.11,366
"345809077301408",2013,5.86,365
"345809077301408",2014,5.52,365
"345809077301408",2015,3.13,365
"345809077301408",2016,4.54,366
"345809077301408",2017,4.91,365
"345809077301408",2018,3.24,365
"345809077301408",2019,5.74,365
"345809077301408",2020,4.505,366
"345809077301408",2021,3.55,207
"345812079313401",1990,31.11,365
"345812079313401",1991,31.48,365
"345812079313401",1992,32.44,366
"345812079313401",1993,30.97,365
"345812079313401",1994,32.3,365
"345812079313401",1995,31.18,365
"345812079313401",1996,31.305,366
"345812079313401",1997,31.32,365
"345812079313401",1998,29.95,365
"345812079313401",1999,30.56,365
"345812079313401",2000,30.875,366
"345812079313401",2001,32.62,365
"345812079313401",2002,33.99,365
"345812079313401",2003,30.42,365
"345812079313401",2004,30.58,366
"345812079313401",2005,31.09,365
"345812079313401",2006,31.01,365
"345812079313401",2007,30.33,365
"345812079313401",2008,31.55,366
"345812079313401",2009,31.24,365
"345812079313401",2010,31.69,365
"345812079313401",2011,32.55,365
"345812079313401",2012,33.725,366
"345812079313401",2013,32.67,365
"345812079313401",2014,31.18,365
"345812079313401",2015,30.44,365
"345812079313401",2016,29.175,366
"345812079313401",2017,30.53,365
"345812079313401",2018,31.8,365
"345812079313401",2019,28.54,365
"345812079313401",2020,29.48,366
"345812079313401",2021,28.05,207
"351121083545002",1990,6.87,365
"351121083545002",1991,3.225,365
"351121083545002",1992,7.2,366
"351121083545002",1993,8.29,365
"351121083545002",1994,5.19,365
"351121083545002",1995,6.3,365
"351121083545002",1996,5.385,366
"351121083545002",1997,4.73,365
"351121083545002",1998,5.86,365
"351121083545002",1999,5.66,365
"351121083545002",2000,6.455,366
"351121083545002",2001,5.67,365
"351121083545002",2002,5.45,365
"351121083545002",2003,4.79,365
"351121083545002",2004,5.6,366
"351121083545002",2005,5.63,365
"351121083545002",2006,5.84,365
"351121083545002",2007,8.44,365
"351121083545002",2008,5.75,366
"351121083545002",2009,4.22,365
"351121083545002",2010,5.79,365
"351121083545002",2011,5.52,365
"351121083545002",2012,5.55,366
"351121083545002",2013,4.31,365
"351121083545002",2014,6,365
"351121083545002",2015,5.33,365
"351121083545002",2016,8.14,366
"351121083545002",2017,5.43,365
"351121083545002",2018,5.25,365
"351121083545002",2019,4.88,365
"351121083545002",2020,4.615,366
"351121083545002",2021,5.18,207
"351709082434101",1990,14.01,365
"351709082434101",1991,13.85,365
"351709082434101",1992,13.74,366
"351709082434101",1993,13.83,365
"351709082434101",1994,13.475,365
"351709082434101",1995,13.56,365
"351709082434101",1996,13.9,366
"351709082434101",1997,14.575,365
"351709082434101",1998,15.26,365
"351709082434101",1999,15.655,365
"351709082434101",2000,15.805,366
"351709082434101",2001,15.84,365
"351709082434101",2002,15.62,365
"351709082434101",2003,13.32,365
"351709082434101",2004,14.01,366
"351709082434101",2005,13.96,365
"351709082434101",2006,15.23,365
"351709082434101",2007,15.57,365
"351709082434101",2008,16.39,366
"351709082434101",2009,14.88,365
"351709082434101",2010,13.95,365
"351709082434101",2011,14.42,365
"351709082434101",2012,14.295,366
"351709082434101",2013,12.34,365
"351709082434101",2014,14.3,365
"351709082434101",2015,14.6,365
"351709082434101",2016,15.88,366
"351709082434101",2017,15.27,365
"351709082434101",2018,13.2,365
"351709082434101",2019,13.07,365
"351709082434101",2020,12.35,366
"351709082434101",2021,12.93,207
"351808082374302",1990,27.46,365
"351808082374302",1991,29.56,365
"351808082374302",1992,29.54,366
"351808082374302",1993,26.27,365
"351808082374302",1994,27.53,365
"351808082374302",1995,27.27,365
"351808082374302",1996,28.55,366
"351808082374302",1997,29.51,365
"351808082374302",1998,28.54,365
"351808082374302",1999,32.31,365
"351808082374302",2000,34.53,366
"351808082374302",2001,36.52,365
"351808082374302",2002,36.63,365
"351808082374302",2003,29.35,365
"351808082374302",2004,29.52,366
"351808082374302",2005,26.78,365
"351808082374302",2006,31.82,365
"351808082374302",2007,31.71,365
"351808082374302",2008,37.185,366
"351808082374302",2009,36.05,365
"351808082374302",2010,28.42,365
"351808082374302",2011,31.43,365
"351808082374302",2012,31.15,366
"351808082374302",2013,25.53,365
"351808082374302",2014,25.49,365
"351808082374302",2015,29.77,365
"351808082374302",2016,29.24,366
"351808082374302",2017,32.13,365
"351808082374302",2018,26.85,365
"351808082374302",2019,24.52,365
"351808082374302",2020,25.94,366
"351808082374302",2021,24.85,207
"351849078163901",1990,2.86,365
"351849078163901",1991,2.92,365
"351849078163901",1992,2.19,366
"351849078163901",1993,5.46,365
"351849078163901",1994,6.07,365
"351849078163901",1995,2.825,365
"351849078163901",1996,1.73,366
"351849078163901",1997,4.72,365
"351849078163901",1998,2.1,365
"351849078163901",1999,2.28,365
"351849078163901",2000,4.34,366
"351849078163901",2001,3.69,365
"351849078163901",2002,5.18,365
"351849078163901",2003,1.42,365
"351849078163901",2004,2.06,366
"351849078163901",2005,2.06,365
"351849078163901",2006,1.73,365
"351849078163901",2007,4.11,365
"351849078163901",2008,1.83,366
"351849078163901",2009,2.51,365
"351849078163901",2010,3.66,365
"351849078163901",2011,4.975,365
"351849078163901",2012,4.905,366
"351849078163901",2013,3.39,365
"351849078163901",2014,3.81,365
"351849078163901",2015,2.54,365
"351849078163901",2016,2.615,366
"351849078163901",2017,3.43,365
"351849078163901",2018,2.325,365
"351849078163901",2019,2.7,365
"351849078163901",2020,2,366
"351849078163901",2021,1.64,207
"352012081154301",2010,38.36,255
"352012081154301",2011,44.42,365
"352012081154301",2012,44.645,366
"352012081154301",2013,41.39,365
"352012081154301",2014,37.49,365
"352012081154301",2015,42.08,365
"352012081154301",2016,38.065,366
"352012081154301",2017,47.76,365
"352012081154301",2018,44.725,365
"352012081154301",2019,31.755,365
"352012081154301",2020,34.16,366
"352012081154301",2021,27.54,206
"352012081154302",2010,32.275,255
"352012081154302",2011,38.68,365
"352012081154302",2012,39.11,366
"352012081154302",2013,35.74,365
"352012081154302",2014,31.8,365
"352012081154302",2015,36.28,365
"352012081154302",2016,32.55,366
"352012081154302",2017,42.14,365
"352012081154302",2018,39.12,365
"352012081154302",2019,26.375,365
"352012081154302",2020,28.605,366
"352012081154302",2021,22.245,206
"352315082484401",1990,4.74,365
"352315082484401",1991,4.59,365
"352315082484401",1992,4.505,366
"352315082484401",1993,5.09,365
"352315082484401",1994,5.46,365
"352315082484401",1995,4.89,365
"352315082484401",1996,5.13,366
"352315082484401",1997,4.95,365
"352315082484401",1998,5.39,365
"352315082484401",1999,5.83,365
"352315082484401",2000,5.93,366
"352315082484401",2001,6.27,365
"352315082484401",2002,6.1,365
"352315082484401",2003,4.84,365
"352315082484401",2004,4.77,366
"352315082484401",2005,4.7,365
"352315082484401",2006,5.39,365
"352315082484401",2007,5.615,365
"352315082484401",2008,6.03,366
"352315082484401",2009,5.49,365
"352315082484401",2010,5.34,365
"352315082484401",2011,5.63,365
"352315082484401",2012,5.57,366
"352315082484401",2013,4.45,365
"352315082484401",2014,5.23,365
"352315082484401",2015,5.3,365
"352315082484401",2016,5.76,366
"352315082484401",2017,5.7,365
"352315082484401",2018,4.53,365
"352315082484401",2019,5.08,365
"352315082484401",2020,4.49,366
"352315082484401",2021,4.665,207
"353135080524201",2001,21.7,304
"353135080524201",2002,23.2,365
"353135080524201",2003,15.74,365
"353135080524201",2004,16.73,366
"353135080524201",2005,17.34,365
